"chr","tss","refseq_id","gene_symbol"
"chr19",10381517,"NM_000201","ICAM1"
"chrX",148586884,"NM_000202","IDS"
"chr4",980785,"NM_000203","IDUA"
"chr4",110723335,"NM_000204","CFI"
"chrX",70331481,"NM_000206","IL2RG"
"chr11",2182439,"NM_000207","INS"
"chr19",7294011,"NM_000208","INSR"
"chr13",28494168,"NM_000209","PDX1"
"chr2",173292314,"NM_000210","ITGA6"
"chr21",46340965,"NM_000211","ITGB2"
"chr17",45331208,"NM_000212","ITGB3"
"chr17",73717516,"NM_000213","ITGB4"
"chr20",10654694,"NM_000214","JAG1"
"chr19",17958841,"NM_000215","JAK3"
"chrX",8700227,"NM_000216","ANOS1"
"chr12",5019073,"NM_000217","KCNA1"
"chr11",2466221,"NM_000218","KCNQ1"
"chr21",35884573,"NM_000219","KCNE1"
"chr11",128712429,"NM_000220","KCNJ1"
"chr2",27309611,"NM_000221","KHK"
"chr4",55524095,"NM_000222","KIT"
"chr17",39023462,"NM_000223","KRT12"
"chr12",53342843,"NM_000224","KRT18"
"chr17",39728310,"NM_000226","KRT9"
"chr18",21452984,"NM_000227","LAMA3"
"chr1",209825820,"NM_000228","LAMB3"
"chr16",67978015,"NM_000229","LCAT"
"chr7",127881331,"NM_000230","LEP"
"chr13",23755060,"NM_000231","SGCG"
"chr4",52904485,"NM_000232","SGCB"
"chr2",48982880,"NM_000233","LHCGR"
"chr19",48673860,"NM_000234","LIG1"
"chr10",91011796,"NM_000235","LIPA"
"chr15",58724175,"NM_000236","LIPC"
"chr8",19796582,"NM_000237","LPL"
"chr7",150675402,"NM_000238","KCNH2"
"chr12",69742134,"NM_000239","LYZ"
"chrX",43514155,"NM_000240","MAOA"
"chr10",54531460,"NM_000242","MBL2"
"chr16",3306627,"NM_000243","MEFV"
"chr11",64578188,"NM_000244","MEN1"
"chr7",116312459,"NM_000245","MET"
"chr16",10971055,"NM_000246","CIITA"
"chr6",31371344,"NM_000247","MICA"
"chr3",69985751,"NM_000248","MITF"
"chr3",37034841,"NM_000249","MLH1"
"chr17",56358296,"NM_000250","MPO"
"chr2",47630206,"NM_000251","MSH2"
"chrX",149737047,"NM_000252","MTM1"
"chr4",100485235,"NM_000253","MTTP"
"chr1",236958581,"NM_000254","MTR"
"chr6",49431041,"NM_000255","MMUT"
"chr11",47374253,"NM_000256","MYBPC3"
"chr14",23904895,"NM_000257","MYH7"
"chr3",46904973,"NM_000258","MYL3"
"chr15",52821247,"NM_000259","MYO5A"
"chr11",76839310,"NM_000260","MYO7A"
"chr1",171621773,"NM_000261","MYOC"
"chr22",42466846,"NM_000262","NAGA"
"chr17",40687951,"NM_000263","NAGLU"
"chr9",98270831,"NM_000264","PTCH1"
"chr7",74188309,"NM_000265","NCF1"
"chrX",43832921,"NM_000266","NDP"
"chr17",29421945,"NM_000267","NF1"
"chr22",29999545,"NM_000268","NF2"
"chr17",49230920,"NM_000269","NME1"
"chr14",20937538,"NM_000270","PNP"
"chr18",21166581,"NM_000271","NPC1"
"chr2",110962639,"NM_000272","NPHP1"
"chrX",9734005,"NM_000273","GPR143"
"chr10",126107545,"NM_000274","OAT"
"chr15",28344458,"NM_000275","OCA2"
"chrX",128674252,"NM_000276","OCRL"
"chr12",103311381,"NM_000277","PAH"
"chr10",102505468,"NM_000278","PAX2"
"chr11",31832901,"NM_000280","PAX6"
"chr10",72648543,"NM_000281","PCBD1"
"chr13",100741269,"NM_000282","PCCA"
"chr4",619363,"NM_000283","PDE6B"
"chrX",19362011,"NM_000284","PDHA1"
"chr19",34012799,"NM_000285","PEPD"
"chr17",33905656,"NM_000286","PEX12"
"chr6",42946981,"NM_000287","PEX6"
"chr6",137143702,"NM_000288","PEX7"
"chr12",48513013,"NM_000289","PFKM"
"chr7",44105186,"NM_000290","PGAM2"
"chrX",77359666,"NM_000291","PGK1"
"chrX",19002480,"NM_000292","PHKA2"
"chr16",47495210,"NM_000293","PHKB"
"chr16",30759620,"NM_000294","PHKG2"
"chr14",94855153,"NM_000295","SERPINA1"
"chr16",2185899,"NM_000296","PKD1"
"chr4",88928799,"NM_000297","PKD2"
"chr1",155271225,"NM_000298","PKLR"
"chr1",201252580,"NM_000299","PKP1"
"chr1",20306932,"NM_000300","PLA2G2A"
"chr6",161123225,"NM_000301","PLG"
"chr1",11994724,"NM_000302","PLOD1"
"chr16",8891670,"NM_000303","PMM2"
"chr17",15168674,"NM_000304","PMP22"
"chr7",95064384,"NM_000305","PON2"
"chr3",87325737,"NM_000306","POU1F1"
"chrX",82763269,"NM_000307","POU3F4"
"chr20",44519591,"NM_000308","CTSA"
"chr1",161136181,"NM_000309","PPOX"
"chr1",40563142,"NM_000310","PPT1"
"chr20",4666797,"NM_000311","PRNP"
"chr2",128175996,"NM_000312","PROC"
"chr3",93692934,"NM_000313","PROS1"
"chr10",89623195,"NM_000314","PTEN"
"chr11",13517567,"NM_000315","PTH"
"chr3",46919236,"NM_000316","PTH1R"
"chr11",112097088,"NM_000317","PTS"
"chr8",77912524,"NM_000318","PEX2"
"chr12",7342958,"NM_000319","PEX5"
"chr4",17513857,"NM_000320","QDPR"
"chr13",48877883,"NM_000321","RB1"
"chr6",42690358,"NM_000322","PRPH2"
"chr6",49604587,"NM_000324","RHAG"
"chr4",111544254,"NM_000325","PITX2"
"chr15",89764922,"NM_000326","RLBP1"
"chr11",62380213,"NM_000327","ROM1"
"chrX",38186788,"NM_000328","RPGR"
"chr1",68915642,"NM_000329","RPE65"
"chrX",18690223,"NM_000330","RS1"
"chr11",18287808,"NM_000331","SAA1"
"chr6",16761721,"NM_000332","ATXN1"
"chr3",63850233,"NM_000333","ATXN7"
"chr17",62050278,"NM_000334","SCN4A"
"chr3",38691163,"NM_000335","SCN5A"
"chr16",23313591,"NM_000336","SCNN1B"
"chr5",155753767,"NM_000337","SGCD"
"chr15",48498498,"NM_000338","SLC12A1"
"chr16",56899119,"NM_000339","SLC12A3"
"chr3",170744768,"NM_000340","SLC2A2"
"chr2",44502597,"NM_000341","SLC3A1"
"chr17",42345502,"NM_000342","SLC4A1"
"chr22",32439019,"NM_000343","SLC5A1"
"chr5",70220768,"NM_000344","SMN1"
"chr5",69345350,"NM_000344","SMN1"
"chr4",90758350,"NM_000345","SNCA"
"chr17",70117161,"NM_000346","SOX9"
"chr14",65289866,"NM_000347","SPTB"
"chr2",31806040,"NM_000348","SRD5A2"
"chr8",38008600,"NM_000349","STAR"
"chr1",94586705,"NM_000350","ABCA4"
"chrX",7137472,"NM_000351","STS"
"chr11",17498392,"NM_000352","ABCC8"
"chr16",71610998,"NM_000353","TAT"
"chrX",105282718,"NM_000354","SERPINA7"
"chr22",31003070,"NM_000355","TCN2"
"chr5",149737202,"NM_000356","TCOF1"
"chr5",135364584,"NM_000358","TGFBI"
"chr14",24732416,"NM_000359","TGM1"
"chr11",2193035,"NM_000360","TH"
"chr20",23030301,"NM_000361","THBD"
"chr22",33196802,"NM_000362","TIMP3"
"chr19",55669100,"NM_000363","TNNI3"
"chr1",201346828,"NM_000364","TNNT2"
"chr12",6976693,"NM_000365","TPI1"
"chr15",63334838,"NM_000366","TPM1"
"chr6",18155396,"NM_000367","TPMT"
"chr9",135820020,"NM_000368","TSC1"
"chr14",81421869,"NM_000369","TSHR"
"chr8",63998612,"NM_000370","TTPA"
"chr18",29171730,"NM_000371","TTR"
"chr11",88911040,"NM_000372","TYR"
"chr3",124449213,"NM_000373","UMPS"
"chr1",45477805,"NM_000374","UROD"
"chr10",127511837,"NM_000375","UROS"
"chr12",48298814,"NM_000376","VDR"
"chrX",48542186,"NM_000377","WAS"
"chr11",32457081,"NM_000378","WT1"
"chr2",31637611,"NM_000379","XDH"
"chr9",100459691,"NM_000380","XPA"
"chrX",10588674,"NM_000381","MID1"
"chr17",19552064,"NM_000382","ALDH3A2"
"chr21",45705721,"NM_000383","AIRE"
"chr2",21266945,"NM_000384","APOB"
"chr17",28619184,"NM_000386","BLMH"
"chr3",48936426,"NM_000387","SLC25A20"
"chr3",121902530,"NM_000388","CASR"
"chr6",36646456,"NM_000389","CDKN1A"
"chrX",85302566,"NM_000390","CHM"
"chr11",6640692,"NM_000391","TPP1"
"chr10",101542355,"NM_000392","ABCC2"
"chr2",190044605,"NM_000393","COL5A2"
"chr21",44589118,"NM_000394","CRYAA"
"chr22",37309675,"NM_000395","CSF2RB"
"chr1",150780917,"NM_000396","CTSK"
"chrX",37639270,"NM_000397","CYBB"
"chr22",43045405,"NM_000398","CYB5R3"
"chr10",64576126,"NM_000399","EGR2"
"chr19",45873845,"NM_000400","ERCC2"
"chr11",44117747,"NM_000401","EXT2"
"chrX",153775233,"NM_000402","G6PD"
"chr1",24127034,"NM_000403","GALE"
"chr3",33138694,"NM_000404","GLB1"
"chr5",150632613,"NM_000405","GM2A"
"chr4",68621804,"NM_000406","GNRHR"
"chr22",19711066,"NM_000407","GP1BB"
"chr2",157292900,"NM_000408","GPD2"
"chr6",26087509,"NM_000410","HFE"
"chr21",38362545,"NM_000411","HLCS"
"chr3",186383741,"NM_000412","HRG"
"chr17",40703984,"NM_000413","HSD17B1"
"chr5",118788138,"NM_000414","HSD17B4"
"chr12",21525802,"NM_000415","IAPP"
"chr6",137540567,"NM_000416","IFNGR1"
"chr10",6104333,"NM_000417","IL2RA"
"chr16",27325230,"NM_000418","IL4R"
"chr17",42466873,"NM_000419","ITGA2B"
"chr7",142659503,"NM_000420","KEL"
"chr17",38978863,"NM_000421","KRT10"
"chr17",39780882,"NM_000422","KRT17"
"chr12",53045959,"NM_000423","KRT2"
"chr12",52914243,"NM_000424","KRT5"
"chrX",153141500,"NM_000425","L1CAM"
"chr6",129204286,"NM_000426","LAMA2"
"chr1",153232179,"NM_000427","LORICRIN"
"chr14",75079034,"NM_000428","LTBP2"
"chr10",82049434,"NM_000429","MAT1A"
"chr17",2496923,"NM_000430","PAFAH1B1"
"chr12",110011500,"NM_000431","MVK"
"chr12",111358404,"NM_000432","MYL2"
"chr1",183559739,"NM_000433","NCF2"
"chr6",31830709,"NM_000434","NEU1"
"chr19",15311792,"NM_000435","NOTCH3"
"chr5",41870791,"NM_000436","OXCT1"
"chr1",26324648,"NM_000437","PAFAH2"
"chr2",223163715,"NM_000438","PAX3"
"chr5",95768985,"NM_000439","PCSK1"
"chr5",149324356,"NM_000440","PDE6A"
"chr7",107301080,"NM_000441","SLC26A4"
"chr17",62407083,"NM_000442","PECAM1"
"chr7",87105019,"NM_000443","ABCB4"
"chrX",22050562,"NM_000444","PHEX"
"chr8",145050913,"NM_000445","PLEC"
"chr7",94953884,"NM_000446","PON1"
"chr1",227058273,"NM_000447","PSEN2"
"chr11",36589563,"NM_000448","RAG1"
"chr1",151319769,"NM_000449","RFX5"
"chr1",169703220,"NM_000450","SELE"
"chrX",585079,"NM_000451","SHOX"
"chrY",535079,"NM_000451","SHOX"
"chr13",103719196,"NM_000452","SLC10A2"
"chr19",17982782,"NM_000453","SLC5A5"
"chr21",33031935,"NM_000454","SOD1"
"chr19",1205798,"NM_000455","STK11"
"chr12",56391043,"NM_000456","SUOX"
"chr20",43029896,"NM_000457","HNF4A"
"chr17",36105069,"NM_000458","HNF1B"
"chr9",27109139,"NM_000459","TEK"
"chr3",184095996,"NM_000460","THPO"
"chr3",24536313,"NM_000461","THRB"
"chr15",25684175,"NM_000462","UBE3A"
"chr2",234668919,"NM_000463","UGT1A1"
"chr2",215674435,"NM_000465","BARD1"
"chr7",92157845,"NM_000466","PEX1"
"chr7",19157295,"NM_000474","TWIST1"
"chrX",30327495,"NM_000475","NR0B1"
"chr9",130640022,"NM_000476","AK1"
"chr4",74269972,"NM_000477","ALB"
"chr1",21835858,"NM_000478","ALPL"
"chr19",2249113,"NM_000479","AMH"
"chr11",10472224,"NM_000480","AMPD3"
"chr3",49460111,"NM_000481","AMT"
"chr11",116694011,"NM_000482","APOA4"
"chr19",45449239,"NM_000483","APOC2"
"chr21",27543138,"NM_000484","APP"
"chr16",88878342,"NM_000485","APRT"
"chr12",50344524,"NM_000486","AQP2"
"chr22",51066601,"NM_000487","ARSA"
"chr1",173886516,"NM_000488","SERPINC1"
"chrX",77041755,"NM_000489","ATRX"
"chr20",3065370,"NM_000490","AVP"
"chr1",22979682,"NM_000491","C1QB"
"chr7",117120017,"NM_000492","CFTR"
"chr6",116447296,"NM_000493","COL10A1"
"chr10",105845638,"NM_000494","COL17A1"
"chrX",107683074,"NM_000495","COL4A5"
"chr22",25615612,"NM_000496","CRYBB2"
"chr8",143961236,"NM_000497","CYP11B1"
"chr8",143999259,"NM_000498","CYP11B2"
"chr15",75017877,"NM_000499","CYP1A1"
"chr6",31973359,"NM_000500","CYP21A2"
"chr6",32006093,"NM_000500","CYP21A2"
"chr7",73442119,"NM_000501","ELN"
"chr17",56270089,"NM_000502","EPX"
"chr8",72274467,"NM_000503","EYA1"
"chr13",113777113,"NM_000504","F10"
"chr5",176836577,"NM_000505","F12"
"chr11",46740716,"NM_000506","F2"
"chr9",97401923,"NM_000507","FBP1"
"chr4",155511897,"NM_000508","FGA"
"chr4",155533960,"NM_000509","FGG"
"chr11",30252563,"NM_000510","FSHB"
"chr19",49199228,"NM_000511","FUT2"
"chr16",88923374,"NM_000512","GALNS"
"chrX",153448085,"NM_000513","OPN1MW"
"chrX",153485203,"NM_000513","OPN1MW"
"chr5",37839782,"NM_000514","GDNF"
"chr17",61996212,"NM_000515","GH1"
"chr20",57466358,"NM_000516","GNAS"
"chr16",222846,"NM_000517","HBA2"
"chr11",5248301,"NM_000518","HBB"
"chr11",5255858,"NM_000519","HBD"
"chr15",72668520,"NM_000520","HEXA"
"chr5",73980969,"NM_000521","HEXB"
"chr7",27239725,"NM_000522","HOXA13"
"chr2",176957532,"NM_000523","HOXD13"
"chr5",63258119,"NM_000524","HTR1A"
"chr11",17410206,"NM_000525","KCNJ11"
"chr17",39743147,"NM_000526","KRT14"
"chr19",11200038,"NM_000527","LDLR"
"chr19",12777591,"NM_000528","MAN2B1"
"chr18",13915535,"NM_000529","MC2R"
"chr1",161279762,"NM_000530","MPZ"
"chrX",38211736,"NM_000531","OTC"
"chr3",135969167,"NM_000532","PCCB"
"chrX",103031721,"NM_000533","PLP1"
"chr2",190648811,"NM_000534","PMS1"
"chr7",6048737,"NM_000535","PMS2"
"chr11",36619829,"NM_000536","RAG2"
"chr1",204135465,"NM_000537","REN"
"chr13",37393339,"NM_000538","RFXAP"
"chr3",129247482,"NM_000539","RHO"
"chr19",38924340,"NM_000540","RYR1"
"chr2",234216309,"NM_000541","SAG"
"chr2",85895864,"NM_000542","SFTPB"
"chr11",6411644,"NM_000543","SMPD1"
"chr6",32806547,"NM_000544","TAP2"
"chr12",121416371,"NM_000545","HNF1A"
"chr17",7590868,"NM_000546","TP53"
"chr2",1417233,"NM_000547","TPO"
"chr16",2097990,"NM_000548","TSC2"
"chr1",115572445,"NM_000549","TSHB"
"chr9",12693386,"NM_000550","TYRP1"
"chr3",10183319,"NM_000551","VHL"
"chr12",6233836,"NM_000552","VWF"
"chr8",30890778,"NM_000553","WRN"
"chr19",48325099,"NM_000554","CRX"
"chrX",110654374,"NM_000555","DCX"
"chr20",34025970,"NM_000557","GDF5"
"chr16",226650,"NM_000558","HBA1"
"chr11",5271087,"NM_000559","HBG1"
"chr1",111415722,"NM_000560","CD53"
"chr1",110230418,"NM_000561","GSTM1"
"chr1",57320443,"NM_000562","C8A"
"chr3",3152058,"NM_000564","IL5RA"
"chr1",154377669,"NM_000565","IL6R"
"chr1",149754250,"NM_000566","FCGR1A"
"chr1",159684379,"NM_000567","CRP"
"chr1",161519818,"NM_000569","FCGR3A"
"chr1",161601753,"NM_000570","FCGR3B"
"chr1",206945839,"NM_000572","IL10"
"chr1",207669473,"NM_000573","CR1"
"chr1",207494817,"NM_000574","CD55"
"chr2",113542971,"NM_000575","IL1A"
"chr2",113594356,"NM_000576","IL1B"
"chr2",113875470,"NM_000577","IL1RN"
"chr2",219246752,"NM_000578","SLC11A1"
"chr3",46411633,"NM_000579","CCR5"
"chr3",49395791,"NM_000581","GPX1"
"chr4",88896802,"NM_000582","SPP1"
"chr4",72650079,"NM_000583","GC"
"chr4",74606223,"NM_000584","CXCL8"
"chr4",142557749,"NM_000585","IL15"
"chr4",123377650,"NM_000586","IL2"
"chr5",40909599,"NM_000587","C7"
"chr5",131396347,"NM_000588","IL3"
"chr5",132009678,"NM_000589","IL4"
"chr5",135231516,"NM_000590","IL9"
"chr5",140013035,"NM_000591","CD14"
"chr6",32821748,"NM_000593","TAP1"
"chr6",31543344,"NM_000594","TNF"
"chr6",31540071,"NM_000595","LTA"
"chr7",45927959,"NM_000596","IGFBP1"
"chr2",217498127,"NM_000597","IGFBP2"
"chr7",45960871,"NM_000598","IGFBP3"
"chr2",217560272,"NM_000599","IGFBP5"
"chr7",22766766,"NM_000600","IL6"
"chr7",81399452,"NM_000601","HGF"
"chr7",100770370,"NM_000602","SERPINE1"
"chr7",150688144,"NM_000603","NOS3"
"chr9",21385396,"NM_000605","IFNA2"
"chr9",139839698,"NM_000606","C8G"
"chr9",117085303,"NM_000607","ORM1"
"chr9",117092069,"NM_000608","ORM2"
"chr10",44880545,"NM_000609","CXCL12"
"chr11",35160417,"NM_000610","CD44"
"chr11",33758025,"NM_000611","CD59"
"chr11",2160204,"NM_000612","IGF2"
"chr11",6462254,"NM_000613","HPX"
"chr11",58390146,"NM_000614","CNTF"
"chr11",112831969,"NM_000615","NCAM1"
"chr12",6898638,"NM_000616","CD4"
"chr12",51420199,"NM_000617","SLC11A2"
"chr12",102874378,"NM_000618","IGF1"
"chr12",68553521,"NM_000619","IFNG"
"chr12",117799607,"NM_000620","NOS1"
"chr13",47471211,"NM_000621","HTR2A"
"chr14",96671135,"NM_000623","BDKRB2"
"chr14",95047706,"NM_000624","SERPINA5"
"chr17",26127555,"NM_000625","NOS2"
"chr17",62009704,"NM_000626","CD79B"
"chr2",33359664,"NM_000627","LTBP1"
"chr21",34638665,"NM_000628","IL10RB"
"chr21",34697214,"NM_000629","IFNAR1"
"chr22",37257030,"NM_000631","NCF4"
"chr16",31271288,"NM_000632","ITGAM"
"chr18",60986613,"NM_000633","BCL2"
"chr2",219031716,"NM_000634","CXCR1"
"chr19",6110664,"NM_000635","RFX2"
"chr6",160114353,"NM_000636","SOD2"
"chr8",30585486,"NM_000637","GSR"
"chr17",26697373,"NM_000638","VTN"
"chr1",172628148,"NM_000639","FASLG"
"chrX",114252207,"NM_000640","IL13RA2"
"chr19",55881831,"NM_000641","IL11"
"chr1",169680843,"NM_000655","SELL"
"chr19",41859838,"NM_000660","TGFB1"
"chr4",39460568,"NM_000661","RPL9"
"chr8",18067612,"NM_000662","NAT1"
"chr16",8806826,"NM_000663","ABAT"
"chr7",100493592,"NM_000665","ACHE"
"chr3",52017300,"NM_000666","ACY1"
"chr4",100212185,"NM_000667","ADH1A"
"chr4",100242599,"NM_000668","ADH1B"
"chr4",100274202,"NM_000669","ADH1C"
"chr4",100065449,"NM_000670","ADH4"
"chr4",100009939,"NM_000671","ADH5"
"chr4",100140403,"NM_000672","ADH6"
"chr4",100356667,"NM_000673","ADH7"
"chr1",203096836,"NM_000674","ADORA1"
"chr22",24823530,"NM_000675","ADORA2A"
"chr17",15848231,"NM_000676","ADORA2B"
"chr1",112046743,"NM_000677","ADORA3"
"chr20",4229659,"NM_000678","ADRA1D"
"chr5",159343740,"NM_000679","ADRA1B"
"chr8",26722922,"NM_000680","ADRA1A"
"chr10",112836790,"NM_000681","ADRA2A"
"chr2",96781984,"NM_000682","ADRA2B"
"chr4",3768296,"NM_000683","ADRA2C"
"chr10",115803806,"NM_000684","ADRB1"
"chr3",148415658,"NM_000685","AGTR1"
